common_name,category,CID,AtomStereoCount,BondStereoCount,Charge,Complexity,ConnectivitySMILES,CovalentUnitCount,ExactMass,HBondAcceptorCount,HBondDonorCount,HeavyAtomCount,IUPACName,InChI,InChIKey,MolecularFormula,MolecularWeight,MonoisotopicMass,RotatableBondCount,SMILES,TPSA,XLogP,sdf_file
DiPT,Tryptamine Psychedelics,26903,0,0,0,241,CC(C)N(CCC1=CNC2=CC=CC=C21)C(C)C,1,244.193948774,1,1,18,N-[2-(1H-indol-3-yl)ethyl]-N-propan-2-ylpropan-2-amine,"InChI=1S/C16H24N2/c1-12(2)18(13(3)4)10-9-14-11-17-16-8-6-5-7-15(14)16/h5-8,11-13,17H,9-10H2,1-4H3",ZRVAAGAZUWXRIP-UHFFFAOYSA-N,C16H24N2,244.37,244.193948774,5,CC(C)N(CCC1=CNC2=CC=CC=C21)C(C)C,19,4.1,DiPT_26903.sdf
MiPT,Tryptamine Psychedelics,29935323,0,0,0,215,CC(C)N(C)CCC1=CNC2=CC=CC=C21,1,216.162648646,1,1,16,N-[2-(1H-indol-3-yl)ethyl]-N-methylpropan-2-amine,"InChI=1S/C14H20N2/c1-11(2)16(3)9-8-12-10-15-14-7-5-4-6-13(12)14/h4-7,10-11,15H,8-9H2,1-3H3",KTQJVAJLJZIKKD-UHFFFAOYSA-N,C14H20N2,216.32,216.162648646,4,CC(C)N(C)CCC1=CNC2=CC=CC=C21,19,3.3,MiPT_29935323.sdf
Alpha-methyltryptamine,Tryptamine Psychedelics,9287,1,0,0,169,CC(CC1=CNC2=CC=CC=C21)N,1,174.115698455,1,2,13,1-(1H-indol-3-yl)propan-2-amine,"InChI=1S/C11H14N2/c1-8(12)6-9-7-13-11-5-3-2-4-10(9)11/h2-5,7-8,13H,6,12H2,1H3",QSQQQURBVYWZKJ-UHFFFAOYSA-N,C11H14N2,174.24,174.115698455,2,CC(CC1=CNC2=CC=CC=C21)N,41.8,2,Alpha-methyltryptamine_9287.sdf
5-MeO-AMT,Tryptamine Psychedelics,36906,1,0,0,210,CC(CC1=CNC2=C1C=C(C=C2)OC)N,1,204.126263138,2,2,15,1-(5-methoxy-1H-indol-3-yl)propan-2-amine,"InChI=1S/C12H16N2O/c1-8(13)5-9-7-14-12-4-3-10(15-2)6-11(9)12/h3-4,6-8,14H,5,13H2,1-2H3",OGNJZVNNKBZFRM-UHFFFAOYSA-N,C12H16N2O,204.27,204.126263138,3,CC(CC1=CNC2=C1C=C(C=C2)OC)N,51,1,5-MeO-AMT_36906.sdf
Ibogaine,Tryptamine Psychedelics,197060,4,0,0,455,CCC1CC2CC3C1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,1,310.204513457,2,1,23,"(1R,15R,17S,18S)-17-ethyl-7-methoxy-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4(9),5,7-tetraene","InChI=1S/C20H26N2O/c1-3-13-8-12-9-17-19-15(6-7-22(11-12)20(13)17)16-10-14(23-2)4-5-18(16)21-19/h4-5,10,12-13,17,20-21H,3,6-9,11H2,1-2H3/t12-,13+,17+,20+/m1/s1",HSIBGVUMFOSJPD-CFDPKNGZSA-N,C20H26N2O,310.4,310.204513457,2,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC,28.3,3.9,Ibogaine_197060.sdf
Noribogaine,Tryptamine Psychedelics,3083548,4,0,0,441,CCC1CC2CC3C1N(C2)CCC4=C3NC5=C4C=C(C=C5)O,1,296.188863393,2,2,22,"(1R,15R,17S,18S)-17-ethyl-3,13-diazapentacyclo[13.3.1.02,10.04,9.013,18]nonadeca-2(10),4(9),5,7-tetraen-7-ol","InChI=1S/C19H24N2O/c1-2-12-7-11-8-16-18-14(5-6-21(10-11)19(12)16)15-9-13(22)3-4-17(15)20-18/h3-4,9,11-12,16,19-20,22H,2,5-8,10H2,1H3/t11-,12+,16+,19+/m1/s1",RAUCDOKTMDOIPF-RYRUWHOVSA-N,C19H24N2O,296.4,296.188863393,1,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)O,39.3,3.6,Noribogaine_3083548.sdf
LSD,Ergolines,5761,2,0,0,527,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,1,323.199762429,2,1,24,"(6aR,9R)-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C20H25N3O/c1-4-23(5-2)20(24)14-9-16-15-7-6-8-17-19(15)13(11-21-17)10-18(16)22(3)12-14/h6-9,11,14,18,21H,4-5,10,12H2,1-3H3/t14-,18-/m1/s1",VAYOSLLFUXYJDT-RDTXWAMCSA-N,C20H25N3O,323.4,323.199762429,3,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,39.3,3,LSD_5761.sdf
LSA,Ergolines,5143,0,0,0,303,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,1,182.99901420,3,1,12,"1,1-dioxo-1,2-benzothiazol-3-one","InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",CVHZOJJKTDOEJC-UHFFFAOYSA-N,C7H5NO3S,183.19,182.99901420,0,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,71.6,0.9,LSA_5143.sdf
1P-LSD,Ergolines,119025985,2,0,0,656,CCC(=O)N1C=C2CC3C(=CC(CN3C)C(=O)N(CC)CC)C4=C2C1=CC=C4,1,379.22597718,3,0,28,"(6aR,9R)-N,N-diethyl-7-methyl-4-propanoyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C23H29N3O2/c1-5-21(27)26-14-15-12-20-18(17-9-8-10-19(26)22(15)17)11-16(13-24(20)4)23(28)25(6-2)7-3/h8-11,14,16,20H,5-7,12-13H2,1-4H3/t16-,20-/m1/s1",JSMQOVGXBIDBIE-OXQOHEQNSA-N,C23H29N3O2,379.5,379.22597718,4,CCC(=O)N1C=C2C[C@@H]3C(=C[C@H](CN3C)C(=O)N(CC)CC)C4=C2C1=CC=C4,45.6,3.3,1P-LSD_119025985.sdf
ALD-52,Ergolines,201111,2,0,0,641,CCN(CC)C(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C)C,1,365.21032711,3,0,27,"(6aR,9R)-4-acetyl-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C22H27N3O2/c1-5-24(6-2)22(27)16-10-18-17-8-7-9-19-21(17)15(13-25(19)14(3)26)11-20(18)23(4)12-16/h7-10,13,16,20H,5-6,11-12H2,1-4H3/t16-,20-/m1/s1",FJOWXGYLIWJFCH-OXQOHEQNSA-N,C22H27N3O2,365.5,365.21032711,3,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C)C,45.6,2.8,ALD-52_201111.sdf
ETH-LAD,Ergolines,44457783,2,0,0,541,CCN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,1,337.215412493,2,1,25,"(6aR,9R)-N,N,7-triethyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C21H27N3O/c1-4-23(5-2)21(25)15-10-17-16-8-7-9-18-20(16)14(12-22-18)11-19(17)24(6-3)13-15/h7-10,12,15,19,22H,4-6,11,13H2,1-3H3/t15-,19-/m1/s1",MYNOUXJLOHVSMQ-DNVCBOLYSA-N,C21H27N3O,337.5,337.215412493,4,CCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,39.3,3.3,ETH-LAD_44457783.sdf
AL-LAD,Ergolines,15227511,2,0,0,582,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C,1,349.215412493,2,1,26,"(6aR,9R)-N,N-diethyl-7-prop-2-enyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C22H27N3O/c1-4-10-25-14-16(22(26)24(5-2)6-3)11-18-17-8-7-9-19-21(17)15(13-23-19)12-20(18)25/h4,7-9,11,13,16,20,23H,1,5-6,10,12,14H2,2-3H3/t16-,20-/m1/s1",JCQLEPDZFXGHHQ-OXQOHEQNSA-N,C22H27N3O,349.5,349.215412493,5,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)CC=C,39.3,3.6,AL-LAD_15227511.sdf
PRO-LAD,Ergolines,44457803,2,0,0,556,CCCN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,1,351.231062557,2,1,26,"(6aR,9R)-N,N-diethyl-7-propyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C22H29N3O/c1-4-10-25-14-16(22(26)24(5-2)6-3)11-18-17-8-7-9-19-21(17)15(13-23-19)12-20(18)25/h7-9,11,13,16,20,23H,4-6,10,12,14H2,1-3H3/t16-,20-/m1/s1",HZKYLVLOBYNKKM-OXQOHEQNSA-N,C22H29N3O,351.5,351.231062557,5,CCCN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N(CC)CC,39.3,3.8,PRO-LAD_44457803.sdf
Ergine,Ergolines,442072,2,0,0,461,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N,1,267.137162174,2,2,20,"(6aR,9R)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C16H17N3O/c1-19-8-10(16(17)20)5-12-11-3-2-4-13-15(11)9(7-18-13)6-14(12)19/h2-5,7,10,14,18H,6,8H2,1H3,(H2,17,20)/t10-,14-/m1/s1",GENAHGKEFJLNJB-QMTHXVAHSA-N,C16H17N3O,267.33,267.137162174,1,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)C(=O)N,62.1,1.6,Ergine_442072.sdf
Ergometrine,Ergolines,443884,3,0,0,535,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,1,325.17902698,3,3,24,"(6aR,9R)-N-[(2S)-1-hydroxypropan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","InChI=1S/C19H23N3O2/c1-11(10-23)21-19(24)13-6-15-14-4-3-5-16-18(14)12(8-20-16)7-17(15)22(2)9-13/h3-6,8,11,13,17,20,23H,7,9-10H2,1-2H3,(H,21,24)/t11-,13+,17+/m0/s1",WVVSZNPYNCNODU-XTQGRXLLSA-N,C19H23N3O2,325.4,325.17902698,3,C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,68.4,1.8,Ergometrine_443884.sdf
Mescaline,Phenethylamine Psychedelics,4076,0,0,0,163,COC1=CC(=CC(=C1OC)OC)CCN,1,211.12084340,4,1,15,"2-(3,4,5-trimethoxyphenyl)ethanamine","InChI=1S/C11H17NO3/c1-13-9-6-8(4-5-12)7-10(14-2)11(9)15-3/h6-7H,4-5,12H2,1-3H3",RHCSKNNOAZULRK-UHFFFAOYSA-N,C11H17NO3,211.26,211.12084340,5,COC1=CC(=CC(=C1OC)OC)CCN,53.7,0.7,Mescaline_4076.sdf
2C-B,Phenethylamine Psychedelics,98527,0,0,0,168,COC1=CC(=C(C=C1CCN)OC)Br,1,259.02079,3,1,14,"2-(4-bromo-2,5-dimethoxyphenyl)ethanamine","InChI=1S/C10H14BrNO2/c1-13-9-6-8(11)10(14-2)5-7(9)3-4-12/h5-6H,3-4,12H2,1-2H3",YMHOBZXQZVXHBM-UHFFFAOYSA-N,C10H14BrNO2,260.13,259.02079,4,COC1=CC(=C(C=C1CCN)OC)Br,44.5,2.1,2C-B_98527.sdf
2C-I,Phenethylamine Psychedelics,10267191,0,0,0,168,COC1=CC(=C(C=C1CCN)OC)I,1,307.00693,3,1,14,"2-(4-iodo-2,5-dimethoxyphenyl)ethanamine","InChI=1S/C10H14INO2/c1-13-9-6-8(11)10(14-2)5-7(9)3-4-12/h5-6H,3-4,12H2,1-2H3",PQHQBRJAAZQXHL-UHFFFAOYSA-N,C10H14INO2,307.13,307.00693,4,COC1=CC(=C(C=C1CCN)OC)I,44.5,1.8,2C-I_10267191.sdf
2C-E,Phenethylamine Psychedelics,24729233,0,0,0,175,CCC1=CC(=C(C=C1OC)CCN)OC,1,209.141578849,3,1,15,"2-(4-ethyl-2,5-dimethoxyphenyl)ethanamine","InChI=1S/C12H19NO2/c1-4-9-7-12(15-3)10(5-6-13)8-11(9)14-2/h7-8H,4-6,13H2,1-3H3",VDRGNAMREYBIHA-UHFFFAOYSA-N,C12H19NO2,209.28,209.141578849,5,CCC1=CC(=C(C=C1OC)CCN)OC,44.5,2.4,2C-E_24729233.sdf
2C-T-7,Phenethylamine Psychedelics,24728635,0,0,0,204,CCCSC1=C(C=C(C(=C1)OC)CCN)OC,1,255.12930009,4,1,17,"2-(2,5-dimethoxy-4-propylsulfanylphenyl)ethanamine","InChI=1S/C13H21NO2S/c1-4-7-17-13-9-11(15-2)10(5-6-14)8-12(13)16-3/h8-9H,4-7,14H2,1-3H3",OLEVEPDJOFPJTF-UHFFFAOYSA-N,C13H21NO2S,255.38,255.12930009,7,CCCSC1=C(C=C(C(=C1)OC)CCN)OC,69.8,2.6,2C-T-7_24728635.sdf
2C-T-2,Phenethylamine Psychedelics,12074193,0,0,0,192,CCSC1=C(C=C(C(=C1)OC)CCN)OC,1,241.11365002,4,1,16,"2-(4-ethylsulfanyl-2,5-dimethoxyphenyl)ethanamine","InChI=1S/C12H19NO2S/c1-4-16-12-8-10(14-2)9(5-6-13)7-11(12)15-3/h7-8H,4-6,13H2,1-3H3",HCWQGDLBIKOJPM-UHFFFAOYSA-N,C12H19NO2S,241.35,241.11365002,6,CCSC1=C(C=C(C(=C1)OC)CCN)OC,69.8,2.1,2C-T-2_12074193.sdf
2C-C,Phenethylamine Psychedelics,29979100,0,0,0,168,COC1=CC(=C(C=C1CCN)OC)Cl,1,215.0713064,3,1,14,"2-(4-chloro-2,5-dimethoxyphenyl)ethanamine","InChI=1S/C10H14ClNO2/c1-13-9-6-8(11)10(14-2)5-7(9)3-4-12/h5-6H,3-4,12H2,1-2H3",CGKQFIWIPSIVAS-UHFFFAOYSA-N,C10H14ClNO2,215.67,215.0713064,4,COC1=CC(=C(C=C1CCN)OC)Cl,44.5,2.1,2C-C_29979100.sdf
2C-D,Phenethylamine Psychedelics,135740,0,0,0,163,CC1=CC(=C(C=C1OC)CCN)OC,1,195.125928785,3,1,14,"2-(2,5-dimethoxy-4-methylphenyl)ethanamine","InChI=1S/C11H17NO2/c1-8-6-11(14-3)9(4-5-12)7-10(8)13-2/h6-7H,4-5,12H2,1-3H3",UNQQFDCVEMVQHM-UHFFFAOYSA-N,C11H17NO2,195.26,195.125928785,4,CC1=CC(=C(C=C1OC)CCN)OC,44.5,1.8,2C-D_135740.sdf
2C-P,Phenethylamine Psychedelics,44350080,0,0,0,187,CCCC1=CC(=C(C=C1OC)CCN)OC,1,223.157228913,3,1,16,"2-(2,5-dimethoxy-4-propylphenyl)ethanamine","InChI=1S/C13H21NO2/c1-4-5-10-8-13(16-3)11(6-7-14)9-12(10)15-2/h8-9H,4-7,14H2,1-3H3",PZJOKFZGPTVNBF-UHFFFAOYSA-N,C13H21NO2,223.31,223.157228913,6,CCCC1=CC(=C(C=C1OC)CCN)OC,44.5,2.5,2C-P_44350080.sdf
2C-T-4,Phenethylamine Psychedelics,44350070,0,0,0,214,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC,1,255.12930009,4,1,17,"2-(2,5-dimethoxy-4-propan-2-ylsulfanylphenyl)ethanamine","InChI=1S/C13H21NO2S/c1-9(2)17-13-8-11(15-3)10(5-6-14)7-12(13)16-4/h7-9H,5-6,14H2,1-4H3",HDYZSVKZKDPLDT-UHFFFAOYSA-N,C13H21NO2S,255.38,255.12930009,6,CC(C)SC1=C(C=C(C(=C1)OC)CCN)OC,69.8,2.5,2C-T-4_44350070.sdf
DOB,Phenethylamine Psychedelics,62065,1,0,0,191,CC(CC1=CC(=C(C=C1OC)Br)OC)N,1,273.03644,3,1,15,"1-(4-bromo-2,5-dimethoxyphenyl)propan-2-amine","InChI=1S/C11H16BrNO2/c1-7(13)4-8-5-11(15-3)9(12)6-10(8)14-2/h5-7H,4,13H2,1-3H3",FXMWUTGUCAKGQL-UHFFFAOYSA-N,C11H16BrNO2,274.15,273.03644,4,CC(CC1=CC(=C(C=C1OC)Br)OC)N,44.5,2.6,DOB_62065.sdf
DOI,Phenethylamine Psychedelics,1229,1,0,0,191,CC(CC1=CC(=C(C=C1OC)I)OC)N,1,321.02258,3,1,15,"1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine","InChI=1S/C11H16INO2/c1-7(13)4-8-5-11(15-3)9(12)6-10(8)14-2/h5-7H,4,13H2,1-3H3",BGMZUEKZENQUJY-UHFFFAOYSA-N,C11H16INO2,321.15,321.02258,4,CC(CC1=CC(=C(C=C1OC)I)OC)N,44.5,2.5,DOI_1229.sdf
DOM,Phenethylamine Psychedelics,85875,1,0,0,186,CC1=CC(=C(C=C1OC)CC(C)N)OC,1,209.141578849,3,1,15,"1-(2,5-dimethoxy-4-methylphenyl)propan-2-amine","InChI=1S/C12H19NO2/c1-8-5-12(15-4)10(6-9(2)13)7-11(8)14-3/h5,7,9H,6,13H2,1-4H3",NTJQREUGJKIARY-UHFFFAOYSA-N,C12H19NO2,209.28,209.141578849,4,CC1=CC(=C(C=C1OC)CC(C)N)OC,44.5,2.2,DOM_85875.sdf
DOC,Phenethylamine Psychedelics,6166,6,0,0,606,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,1,330.21949481,3,1,24,"(8S,9S,10R,13S,14S,17S)-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",ZESRJSPZRDMNHY-YFWFAHHUSA-N,C21H30O3,330.5,330.21949481,2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,54.4,2.9,DOC_6166.sdf
25I-NBOMe,Phenethylamine Psychedelics,10251906,0,0,0,331,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)I)OC,1,427.06444,4,1,23,"2-(4-iodo-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine","InChI=1S/C18H22INO3/c1-21-16-7-5-4-6-14(16)12-20-9-8-13-10-18(23-3)15(19)11-17(13)22-2/h4-7,10-11,20H,8-9,12H2,1-3H3",ZFUOLNAKPBFDIJ-UHFFFAOYSA-N,C18H22INO3,427.3,427.06444,8,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)I)OC,39.7,3.8,25I-NBOMe_10251906.sdf
25C-NBOMe,Phenethylamine Psychedelics,46856354,0,0,0,331,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,1,335.1288213,4,1,23,"2-(4-chloro-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine","InChI=1S/C18H22ClNO3/c1-21-16-7-5-4-6-14(16)12-20-9-8-13-10-18(23-3)15(19)11-17(13)22-2/h4-7,10-11,20H,8-9,12H2,1-3H3",FJFPOGCVVLUYAQ-UHFFFAOYSA-N,C18H22ClNO3,335.8,335.1288213,8,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,39.7,3.8,25C-NBOMe_46856354.sdf
25B-NBOMe,Phenethylamine Psychedelics,9977044,0,0,0,331,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,1,379.07831,4,1,23,"2-(4-bromo-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine","InChI=1S/C18H22BrNO3/c1-21-16-7-5-4-6-14(16)12-20-9-8-13-10-18(23-3)15(19)11-17(13)22-2/h4-7,10-11,20H,8-9,12H2,1-3H3",SUXGNJVVBGJEFB-UHFFFAOYSA-N,C18H22BrNO3,380.3,379.07831,8,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Br)OC,39.7,3.9,25B-NBOMe_9977044.sdf
TMA-2,Phenethylamine Psychedelics,31014,1,0,0,201,CC(CC1=CC(=C(C=C1OC)OC)OC)N,1,225.13649347,4,1,16,"1-(2,4,5-trimethoxyphenyl)propan-2-amine","InChI=1S/C12H19NO3/c1-8(13)5-9-6-11(15-3)12(16-4)7-10(9)14-2/h6-8H,5,13H2,1-4H3",TVSIMAWGATVNGK-UHFFFAOYSA-N,C12H19NO3,225.28,225.13649347,5,CC(CC1=CC(=C(C=C1OC)OC)OC)N,53.7,1.7,TMA-2_31014.sdf
